lang,hash_tags,place_id,index,url,max_position,userid,data_id,favorite,time_tweet,username,place,retweets,id_status,fullname,text_tweet,original_tweet
,,,447,819896212765560832,,,/Alpeeen_/status/819896212765560832?p=v,,Jan 13,Alpeeen_,,,,,Sama sekali tidak merasa jadi pahlawan karena ikut aksi. Merasa menjadi… (at Kantor Gubernur Jawa Tengah) [pic] — path.com/p/1ZFNdu,"<div class=""dir-ltr"" dir=""ltr"">  Sama sekali tidak merasa jadi pahlawan karena ikut aksi. Merasa menjadi… (at Kantor <span class=""twitter-hit-highlight"">Gubernur Jawa Tengah</span>) [pic] — <a href=""https://t.co/6iQGQISIJ8"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://path.com/p/1ZFNdu"" data-url=""https://path.com/p/1ZFNdu"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""https://path.com/p/1ZFNdu"">path.com/p/1ZFNdu</a>
</div>"
,,,448,819890336130445312,,,/netralnews/status/819890336130445312?p=v,,Jan 13,netralnews,,,,,Ganjar Pranowo Raih Penghargaan Penggerak TPAKD Teladan dlvr.it/N5tvkZ #netralnews pic.twitter.com/OlrCs8O8bg,"<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Ganjar Pranowo</span> Raih Penghargaan Penggerak TPAKD Teladan <a href=""https://t.co/PMZ1PWZzJE"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://dlvr.it/N5tvkZ"" data-url=""http://dlvr.it/N5tvkZ"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://dlvr.it/N5tvkZ"">dlvr.it/N5tvkZ</a> <a href=""/hashtag/netralnews?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#netralnews</a> <a href=""https://t.co/OlrCs8O8bg"" data-pre-embedded=""true"" rel=""nofollow"" data-entity-id=""819890332229738499"" dir=""ltr"" data-url=""https://twitter.com/netralnews/status/819890336130445312/photo/1"" data-tco-id=""OlrCs8O8bg"" class=""twitter_external_link dir-ltr tco-link has-expanded-path"" target=""_top"" data-expanded-path=""/netralnews/status/819890336130445312/photo/1"">pic.twitter.com/OlrCs8O8bg</a>
</div>"
,,,449,819886452565643266,,,/Alpeeen_/status/819886452565643266?p=v,,Jan 13,Alpeeen_,,,,,Salam Kendeng Lestari🔥 (at Kantor Gubernur Jawa Tengah) [pic] — path.com/p/2fo7cZ,"<div class=""dir-ltr"" dir=""ltr"">  Salam Kendeng Lestari🔥 (at Kantor <span class=""twitter-hit-highlight"">Gubernur Jawa Tengah</span>) [pic] — <a href=""https://t.co/4z00UXSKVo"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://path.com/p/2fo7cZ"" data-url=""https://path.com/p/2fo7cZ"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""https://path.com/p/2fo7cZ"">path.com/p/2fo7cZ</a>
</div>"
,,,450,819883739517894656,,,/kumpulanSMG/status/819883739517894656?p=v,,Jan 13,kumpulanSMG,,,,,Gubernur Ganjar Dapat Penghargaan Nasional Penggerak TPKAD Teladan 2016 dlvr.it/N5tSWS,"<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Gubernur Ganjar</span> Dapat Penghargaan Nasional Penggerak TPKAD Teladan 2016 <a href=""https://t.co/uEVZlabXix"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://dlvr.it/N5tSWS"" data-url=""http://dlvr.it/N5tSWS"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://dlvr.it/N5tSWS"">dlvr.it/N5tSWS</a>
</div>"
,,,451,819861617961672706,,,/ekosusilo/status/819861617961672706?p=v,,Jan 13,ekosusilo,,,,,"Andalkan Mitra Jateng, Ganjar Pranowo raih penghargaan dari Presiden dlvr.it/N5rllV #jawatengah","<div class=""dir-ltr"" dir=""ltr"">  Andalkan Mitra Jateng, <span class=""twitter-hit-highlight"">Ganjar Pranowo</span> raih penghargaan dari Presiden <a href=""https://t.co/rrhEabAMsS"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://dlvr.it/N5rllV"" data-url=""http://dlvr.it/N5rllV"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://dlvr.it/N5rllV"">dlvr.it/N5rllV</a> <a href=""/hashtag/jawatengah?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#jawatengah</a>
</div>"
,,,452,819846600788938753,,,/kabarklaten/status/819846600788938753?p=v,,Jan 13,kabarklaten,,,,,"Hadiri Pelantikan Pejabat #Klaten, Ganjar Pranowo Maluow.ly/HKxF100yAVz","<div class=""dir-ltr"" dir=""ltr"">  Hadiri Pelantikan Pejabat <a href=""/hashtag/Klaten?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#Klaten</a>, <span class=""twitter-hit-highlight"">Ganjar Pranowo</span> Malu
<a href=""https://t.co/Gw8RYIWm0M"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://ow.ly/HKxF100yAVz"" data-url=""http://ow.ly/HKxF100yAVz"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://ow.ly/HKxF100yAVz"">ow.ly/HKxF100yAVz</a>
</div>"
,,,453,819842883909865472,,,/galeshka/status/819842883909865472?p=v,,Jan 13,galeshka,,,,,Ganjar Pranowo: Tolak Pabrik Semen di Rembang - Paraf Petisi! change.org/p/ganjar-prano… via @ChangeOrg_ID,"<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Ganjar Pranowo</span>: Tolak Pabrik Semen di Rembang - Paraf Petisi! <a href=""https://t.co/Q0GbHxyJ5y"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://www.change.org/p/ganjar-pranowo-tolak-pabrik-semen-di-rembang?recruiter=21655863&amp;utm_source=share_petition&amp;utm_medium=twitter&amp;utm_campaign=share_twitter_responsive"" data-url=""https://www.change.org/p/ganjar-pranowo-tolak-pabrik-semen-di-rembang?recruiter=21655863&amp;utm_source=share_petition&amp;utm_medium=twitter&amp;utm_campaign=share_twitter_responsive"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""https://www.change.org/p/ganjar-pranowo-tolak-pabrik-semen-di-rembang?recruiter=21655863&amp;utm_source=share_petition&amp;utm_medium=twitter&amp;utm_campaign=share_twitter_responsive"">change.org/p/ganjar-prano…</a> via <a href=""/ChangeOrg_ID"" class=""twitter-atreply dir-ltr"" dir=""ltr"" data-mentioned-user-id=""563483976"" data-screenname=""ChangeOrg_ID"">@ChangeOrg_ID</a>
</div>"
,,,454,819839009409089536,,,/kabarklaten/status/819839009409089536?p=v,,Jan 13,kabarklaten,,,,,Ganjar Pranowo Tantang #Klaten Bikin Lelang Jabatan Terbukaow.ly/A4Fo100yAVg,"<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Ganjar Pranowo</span> Tantang <a href=""/hashtag/Klaten?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#Klaten</a> Bikin Lelang Jabatan Terbuka
<a href=""https://t.co/JNE7nEZ4M9"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://ow.ly/A4Fo100yAVg"" data-url=""http://ow.ly/A4Fo100yAVg"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://ow.ly/A4Fo100yAVg"">ow.ly/A4Fo100yAVg</a>
</div>"
,,,455,819826019917971456,,,/imam_amunisi/status/819826019917971456?p=v,,Jan 13,imam_amunisi,,,,,"Solidaritas untuk ibu2 rembang… (w/ Chiwok, Istajib TATANK, &; chelsy at Kantor Gubernur Jawa Tengah) [pic] — path.com/p/1fORQA","<div class=""dir-ltr"" dir=""ltr"">  Solidaritas untuk ibu2 rembang… (w/ Chiwok, Istajib TATANK, &amp; chelsy at Kantor <span class=""twitter-hit-highlight"">Gubernur Jawa Tengah</span>) [pic] — <a href=""https://t.co/tHEGzH2dzA"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://path.com/p/1fORQA"" data-url=""https://path.com/p/1fORQA"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""https://path.com/p/1fORQA"">path.com/p/1fORQA</a>
</div>"
,,,456,819822807894720512,,,/Orang_Rembang/status/819822807894720512?p=v,,Jan 13,Orang_Rembang,,,,,Ganjar Pranowo Tak Perlu Gentar Dengan Aksi Penolakan Pabrik Semen Rembang#MembangunRembang nusantara.rmol.co/read/2016/12/2…,"<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Ganjar Pranowo</span> Tak Perlu Gentar Dengan Aksi Penolakan Pabrik Semen Rembang  <a href=""/hashtag/MembangunRembang?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#MembangunRembang</a> 
<a href=""https://t.co/dGN3J6oJ7o"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://nusantara.rmol.co/read/2016/12/28/274182/Ganjar-Pranowo-Tak-Perlu-Gentar-Dengan-Aksi-Penolakan-Pabrik-Semen-Rembang-"" data-url=""http://nusantara.rmol.co/read/2016/12/28/274182/Ganjar-Pranowo-Tak-Perlu-Gentar-Dengan-Aksi-Penolakan-Pabrik-Semen-Rembang-"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://nusantara.rmol.co/read/2016/12/28/274182/Ganjar-Pranowo-Tak-Perlu-Gentar-Dengan-Aksi-Penolakan-Pabrik-Semen-Rembang-"">nusantara.rmol.co/read/2016/12/2…</a>
</div>"
,,,457,819821195994333185,,,/Orang_Rembang/status/819821195994333185?p=v,,Jan 13,Orang_Rembang,,,,,Ganjar Pranowo: Soal Pabrik Semen seperti Anak Perempuan Dihamili Orang #MembangunRembangjateng.tribunnews.com/2016/12/20/gan…,"<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Ganjar Pranowo</span>: Soal Pabrik Semen seperti Anak Perempuan Dihamili Orang <a href=""/hashtag/MembangunRembang?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#MembangunRembang</a>
<a href=""https://t.co/4TvvuZxp5J"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://jateng.tribunnews.com/2016/12/20/ganjar-pranowo-soal-pabrik-semen-seperti-anak-perempuan-dihamili-orang"" data-url=""http://jateng.tribunnews.com/2016/12/20/ganjar-pranowo-soal-pabrik-semen-seperti-anak-perempuan-dihamili-orang"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://jateng.tribunnews.com/2016/12/20/ganjar-pranowo-soal-pabrik-semen-seperti-anak-perempuan-dihamili-orang"">jateng.tribunnews.com/2016/12/20/gan…</a>
</div>"
,,,458,819815226895802368,,,/fiqhbintangk/status/819815226895802368?p=v,,Jan 12,fiqhbintangk,,,,,Hari Belarasa untuk Kendeng tercinta 🙌🏻 (with Marjinal at Kantor Gubernur Jawa Tengah/ SETDA Prov. Jateng) — path.com/p/4vySJ3,"<div class=""dir-ltr"" dir=""ltr"">  Hari Belarasa untuk Kendeng tercinta 🙌🏻 (with Marjinal at Kantor <span class=""twitter-hit-highlight"">Gubernur Jawa Tengah</span>/ SETDA Prov. Jateng) — <a href=""https://t.co/hVarjJr9eM"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://path.com/p/4vySJ3"" data-url=""https://path.com/p/4vySJ3"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""https://path.com/p/4vySJ3"">path.com/p/4vySJ3</a>
</div>"
,,,459,819812855411187713,,,/beritaKBR/status/819812855411187713?p=v,,Jan 12,beritaKBR,,,,,"Uji Amdal Semen Indonesia, Gubernur Ganjar: Panggil yang Kontra goo.gl/mjmiMc #kendeng pic.twitter.com/FutIO879hI","<div class=""dir-ltr"" dir=""ltr"">  Uji Amdal Semen Indonesia, <span class=""twitter-hit-highlight"">Gubernur Ganjar</span>: Panggil yang Kontra <a href=""https://t.co/6ESc7Coh7O"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://goo.gl/mjmiMc"" data-url=""http://goo.gl/mjmiMc"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://goo.gl/mjmiMc"">goo.gl/mjmiMc</a> <a href=""/hashtag/kendeng?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#kendeng</a> <a href=""https://t.co/FutIO879hI"" data-pre-embedded=""true"" rel=""nofollow"" data-entity-id=""819812192434339841"" dir=""ltr"" data-url=""https://twitter.com/beritaKBR/status/819812855411187713/photo/1"" data-tco-id=""FutIO879hI"" class=""twitter_external_link dir-ltr tco-link has-expanded-path"" target=""_top"" data-expanded-path=""/beritaKBR/status/819812855411187713/photo/1"">pic.twitter.com/FutIO879hI</a>
</div>"
,,,460,819786734388977665,,,/korpriofficial/status/819786734388977665?p=v,,Jan 12,korpriofficial,,,,,Gubernur Jawa Tengah: Isi Kekosongan Sembilan Jabatan Eselon II di Klaten Melalui Seleksi Terbuka goo.gl/XI4QzF #beritakorpri #ASN,"<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Gubernur Jawa Tengah</span>: Isi Kekosongan Sembilan Jabatan Eselon II di Klaten Melalui Seleksi Terbuka <a href=""https://t.co/HUPmkVpv28"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://goo.gl/XI4QzF"" data-url=""https://goo.gl/XI4QzF"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""https://goo.gl/XI4QzF"">goo.gl/XI4QzF</a> <a href=""/hashtag/beritakorpri?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#beritakorpri</a> <a href=""/hashtag/ASN?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag dir-ltr"" dir=""ltr"">#ASN</a>
</div>"
,,,461,819781601047388160,,,/Bisniscom/status/819781601047388160?p=v,,Jan 12,Bisniscom,,,,,"Gubernur Ganjar Sebut 1,4 Juta Petani Jateng Harus Miliki Kartu Tani bit.ly/2iNRu5r pic.twitter.com/xzR5kG40SQ","<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Gubernur Ganjar</span> Sebut 1,4 Juta Petani Jateng Harus Miliki Kartu Tani <a href=""https://t.co/6UnBfTQJSI"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://bit.ly/2iNRu5r"" data-url=""http://bit.ly/2iNRu5r"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://bit.ly/2iNRu5r"">bit.ly/2iNRu5r</a> <a href=""https://t.co/xzR5kG40SQ"" data-pre-embedded=""true"" rel=""nofollow"" data-entity-id=""819781592570740738"" dir=""ltr"" data-url=""https://twitter.com/Bisniscom/status/819781601047388160/photo/1"" data-tco-id=""xzR5kG40SQ"" class=""twitter_external_link dir-ltr tco-link has-expanded-path"" target=""_top"" data-expanded-path=""/Bisniscom/status/819781601047388160/photo/1"">pic.twitter.com/xzR5kG40SQ</a>
</div>"
,,,462,819781551936286720,,,/bisnisjateng/status/819781551936286720?p=v,,Jan 12,bisnisjateng,,,,,"Gubernur Ganjar Sebut 1,4 Juta Petani Jateng Harus Miliki Kartu Tani bit.ly/2iNRu5r pic.twitter.com/zXLNAJp96I","<div class=""dir-ltr"" dir=""ltr"">  <span class=""twitter-hit-highlight"">Gubernur Ganjar</span> Sebut 1,4 Juta Petani Jateng Harus Miliki Kartu Tani <a href=""https://t.co/x6QaHmYEMI"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://bit.ly/2iNRu5r"" data-url=""http://bit.ly/2iNRu5r"" class=""twitter_external_link dir-ltr tco-link"" target=""_blank"" title=""http://bit.ly/2iNRu5r"">bit.ly/2iNRu5r</a> <a href=""https://t.co/zXLNAJp96I"" data-pre-embedded=""true"" rel=""nofollow"" data-entity-id=""819781549188988928"" dir=""ltr"" data-url=""https://twitter.com/bisnisjateng/status/819781551936286720/photo/1"" data-tco-id=""zXLNAJp96I"" class=""twitter_external_link dir-ltr tco-link has-expanded-path"" target=""_top"" data-expanded-path=""/bisnisjateng/status/819781551936286720/photo/1"">pic.twitter.com/zXLNAJp96I</a>
</div>"
